0
"грубость, ложное обвинение"
Обманывают
некомпетентных
"втайне, некомпетентны"
"потерялись, комиссия списалась"
кошмар
Нет никакого понимания
"Обманом, будьте осторожны"
Непрекращающийся
Абсолютный беспредел и обман
Обман
бардак
"ужас, худший, ниже 0"
Дерзость
блокирует без объяснения причин
Обман
Никакой
жесточайшее злоуподобление безнаказанность
решите уже
"Обман Банк, Нам все равно на вас"
Некомпетентность
Благо
красавцы
на нуле
Отвратительное
"Неправильная, недостоверная"
Обман
чужой
"Ужасный, отвратительный"
"Жалоба, бесит, кошмар, фигня, через одно место"
Постоянно обманывают
ты ли это!?
"неверно проконсультировали, сказали нужно читать условия"
обманывает
Банк-цыган. Кручу верчу обмануть хочу
УБРиР - Банк Лжец и Обманщик
Безобразное
"МОЖНО ВСЕ, если постараешься тебе сделают одолжение"
"проще отказать,чем решить вопрос"
обычным людям
Полнейшая неудовлетворенность
"Некомпетентность, бюрократия, неуважение"
Сплошной обман
Обман
"Больше делай, а меньше говори"
Жалоба
Ужасное
пропали
Ужастное
Постоянные
кошмарный
крайним
"Нахамили, послали, удивительная, безнаказанность"
в шоке
обман
игнор
Хуже
худшее
оставил
некорректно
"Некомпетентные, безответственные"
Обманули
"Сами предумали, само поверили!"
Обманывают
Верните
Вымогаете
Ужасная
До сих пор
"недостоверная реклама, целенаправленный обман, ошибка"
"допотопный, тормознутый"
никаких
Дно
абсурд
Обманщики
Расстройство
Обманули
обманывают
обнаглел
игнорирует
незаконно
роботы
Ужасный
Беспредел
Обман
Обманщики
Жуткая
Обманщики
Ужасное
Пропали
Неудовлетворительная
Плохая
снова
Ужасный
Разговор глухих или акция Сам дурак!
Отличный
Отказываются
дезинформирует
обманывает
без адекватной причины
мошенники
Плохая
вогнали
жалоба
"Забыли совдепию, чихать, хамят"
Только одни обещания
Жалоба
Обман
Хулиганье
уже перенесли
жёсткое надувательство
Ужасное
вместо того что бы
невозможно супер
кошмар
Халатность
Некорректная работа
"Шарашкин, любящий, отдыхать, забирать, деньги"
Грустно
Обманули
Жадины
жалоба
"обманщик, обманули"
отвратильный
Как потерять деньги
Жалоба!
Обманщики
Обман
Неадекватная
обмана
 Полный игнор и обман
ниже плинтуса
отвратительное
неверного инфрмирования
"Грубое, отсутствие актуальной информации"
Беспрецедентно! Недружественное
черти что
треплет нервы
Скрывают
"отсталый, ужасным"
некомпетентные
"кучу, навязанной, обмана"
отсталый
Безобразие
"Хамское, Дезинформация"
отказываются возвращать
Обман! Дезинформация
хамские
некомпетентность
"Безграмотный, обман"
некомпетентность
наплевательское
"Издевательства, ради шутки"
Крайне негативный
довели до нервного срыва
"Худший, сорвёт, все ваши планы"
Ужасно
Нереальное
"Хамское, спамерство"
Необоснованный
цените
Обманули и подставили
отвратительно
съел
Неграмотные
съел
Ужасные
"дороже, идиотизм, полнейший"
"нет, никогда, еще, мы отвечаем по полчаса"
Худший
Лживая
"Хамское, отказ"
Непрофессионализм
никакой
Игнорирование клиента
Хуже
Худший
Плохой
постоянно вводя в заблуждение
Безобразное
отвратительное
доверяй
Обман
На клиента плевать
ужасный
"Недобросовестная, обман"
неквалифицированные
Незаконное
цирк
несерьезное
испортили
"Ввели в заблуждение, потеряли документы, затянули рассмотрение"
9 кругов ада
Ужасный
Дилетанты
"Обманывают, заманивают"
я в шоке
разбираться
Осторожно! блокирует на пустом месте!
Обман
отвратительное
Задолбали
жадное дно
"Худшая, лживые"
без моего ведома
Бесконечные
Обман
Фактическое отсутствие
Навязывают
Неадекватный
"Спам, реклама"
съел
Обманули
Максимальная незаинтересованность
Опять
Хамское
Без моего согласия
плохой
дурдом
обман
Самом лучшем
Чудесный
жалоба
Обман
"Мутный, тянут"
съел
съел
"Шутники, юмористы"
Обманом
Жалоба
ни причём
"Сплошные ошибки, отсутствие клиентоориентированности"
"отличился, проблемы"
обман
одни проблемы
стрangeная
портит
Ужасное
отвратительный
Антибонус
обманщики
Нулевая
непригодность
зажевал
Осторожно! Обманщики!
Самое интересное
Специально?
Обман!
незаконно
Ужасный
Худший
Никак
Ужас! Кошмар!
Нагрубили и послали
Некомпетентность
Жалоба. Хамство и унижения
"жалоба, бесит"
гадалки лютуют
Претензия
"Бесконечные, бесит"
"некомпетентность, намеренное введение в заблуждение"
Обман
11 минут
Обман
Звонят
Потраченный
Бесконечные
отвратительное
Обман
игнорируя
ужасный
отвратительное
Комиссия на перевод своих же денег
очень и очень плохо
Обман
отрицательном
пройди квест
Некомпетентные
игнорит
хамская
Ежедневная травля
А чё могём
просто так
"Ужасное, хамство"
Обманывают
ужасный
обман
Жалоба
качели
отвратительно
проблемы
"Обман, предоставление недостоверной информации"
Худший
Обман
очень хочу
обманывает
лишили последних денег
Ужасный
некомпетентные
"Обман, ухудшение, без причин"
отвратительная
Неорганизованность и некомпетентность
Обманули
хамское наплевательское
"Некомпетентность, безразличное отношение, волокита, подлог и местами обман"
кучу проблем
опять введение в заблуждение
Плохой
Жалоба
плохое
обманул
отказывается
Долгая
Бардак и подстава!
"Некомпетентные, врут"
Обман
некомпетентные
без предупреждения
Некачественная
ужасный
Самое низкое премиум обслуживание
спам
Невозможно
вынуждают
"еще недостижима, но они к ней стремятся"
Полное отсутствие компетентности
"испортить, станьте"
пробивает дно
обманывает
"Худший, обдираловка"
"заблокировали, заморозили, отказываются"
по своей же ошибке
дно
Ужас
Негатив
Обманщики
обманул
"Ну, так себе"
Обманывают
отвратительно
Ужасное
Я в шоке
"Ложь, некомпетентность, лень"
Разберитесь там уже
скатился
крайне неприятный
(!)
Халатная
дешевле
Ужасный
"Ненадежный, жалобу, бесполезная"
"худший, ламповым"
отвратительный
Заказать в другом банке!
Худший
Обман
жалоба
Накинули
безосновательное
Обман
Вранье
"Худший, худших, Просто, никакой"
Недостоверная
ужас
достоин звания Худший
съел
"Ввели в заблуждение, обманным способом, навязали"
Обман
Постоянные проблемы
дно
"Ни ответа, ни привета"
отвратительный
Навязывание
Безосновательная
Обман
прекрасный
0 баллов
Обманщики
Задолбали
Безосновательно
"обманывают, бездействует"
страдаем
обманывает
Недобросовестные
недовольна
Обман
Очень неприятная
Вымогательство
Обманом навязали епэп
без моего согласия
Замануха
Ужасная
Скрытые ловушки
"Непунктуальность, безответственность, некомпетентность"
Дно пробито
Ужасная
Обман
большая проблема
"Некомпетентный, ввел в заблуждение, дезинформировал"
черных коллекторов
обманывает
Ужасный
Хотите сюрпризы и ошибки от банка-вы их получите!
Невозможно
обманщик
отвратительное
устал
безразличие
сливает
"Хамское, некомпетентность"
"Обманщики, хамы"
Хамское
"игнор, потеря денег"
"Ужаснейшая, наплевательское"
вводят в заблуждение
"невозможно, по-человечески"
ущемляют
"Шикарная, отличные"
"Неуважение, нарушение"
Постоянные
жалоба
ждите
удерживает
Верните
халатность
Постоянные звонки!
хамское
постоянными проблемы
нереально
"ужасный, отвратительный"
Обман
отвратительное
"игнорирование, обман"
поленился
обманщица
Наглое навязывание
Полное отсутствие эмпатии
Обман
"Нет обещанного, отсутствует"
Ужасная
Ужасный
уже 5 дней!
Ужасный
Плохой
Худший
отвратительный
Нет доверия
"фиктивными, выдуманными"
Обман
"Обман, навязывание"
Перестаньте мне названивать
Надоели
ужасный
обходите стороной
Убого
потерял
Трижды потеряли
невозвратную
Ужасный
ужасный
"долгое, хамское"
неклиентоориентированный неудобный
Неклиентоориентированный
"обманывает, обманывая"
Осталась без денег за границей!
Неработающие
понабрали
Ужасный
Очередной обман
Наплевательское
ужасе
худший
Отвратительная
некомпетентный
обманом
Некомпетентные
практически невозможно
незаконно
Отвратительное
впустую
Колоссальные
Обманным путем
затянулось
Нет
Ужаснее
Верните мне мои деньги
невыполнимы
мифического
лажает
"разочаровывает, становится все хуже и хуже"
"испортили, всю, по несколько месяцев"
Ужасное
"фишка, холодное, незаинтересованное"
Свинское хамское
ужасный
Полное разочарование! некомпетентность
вам вообще клиенты нужны
отсталый отвратительным
Обманщики
Хамство и угрозы
нет возможности
Просто так
Жалоба
Очень навязчивый
обманщики
Так держать
позор
"Сюрприз, наплевательское"
отвратительная
7 кругов ада
один негатив
"хамское, отсутствие реакции"
Ужасное
Навязывание
отвратительное
феерическая
обманывает
Обман
Заколебали
разочаровал
Ужасное
"Обман, некомпетентность"
Нет содействия
Пробили дно
кинуть прикрыться
отвратительный
хамское
эпопея на ровном месте
Обман
Обман
Плохой
отвратительное
зажевал
Нет компетентных
подставить
"Обман, некомпетентность"
"отвратительный, откровенный обман"
Полная профнепригодность
отсутствует
отстой
бесполезное
обманывают
"Никакой помощи, никакой информации, вводят в заблуждение"
Ужасный
Бесмыссленно
Нет покоя
Неадекватные
Развод
Навязчивые
отказываются
Ужас! Кошмар!
Обман
"Пропала, все"
отвратительный
Обман! Сговор
"некомпетентные, незаконные"
Обман
"Ужасный, некомпетентный"
Жалоба
Навязали
без моего ведома
Отказываются
нагло
Обман
отвратительный
зашкаливает
Полное безобразие
Очень разочаровалась
"жалоба, необоснованный"
отвратительный
Худший
Ужасное
постоянные проблемы
абсолютно разочаровал
Некомпетентность или обман
Встречают по одёжке
ужасный
Очередной обман
бред
Обман
завис
такой
вманивает
ужасный
Полное отсутствие компетентности
Бездельники лживые
отказываются решать вопросы
Очень долго
"Грубое, хамили, нагло"
худший
откровенно
ужасная
непонятные
Непрофессионализм
Негативное
Снова некорректное обращение
хамством
Обман
"Наплевательское, без, без"
Обманули
злостно
неверными
Фантасмагория
"позорный, отвратительный"
Медленное
Худший
пропали
Безобразное
возбудим
Снова
Обманщики!
Сколько можно
обман
отвратительное
"Халатность, обман и абсолютное безразличие"
худший
Растягивают сроки обращения и держат чужие средства!
обманщик
"Назойливость, давление"
(нет)
Абсолютно некомпетентные
отвратительный
Неправильно
Ужасное
провалилась
отвратительное
хамство
Обман
вообще
Отвратительный
без моего ведома
Отвратительная
заблуждение
Обман
Обман или вопиющая некомпетентность
Ужасное
вне конкуренции
Ужасное
Беспредел и произвол
Обман
Испортили
Обман
на нуле
"Ужасный, обманывают"
"Отвратительный, бегите"
в шоке
всё время падает
"отвратительное, ужасный"
типо
Худшая
Трата времени
Обман
испортили
отвратительное
отвратительный
отвратительное
Обман
жалобы
Наплевательское отношение
Звонят
Издевательство!
никакая
отвратительный
Низкий уровень обслуживания
"издевается, веселится"
Обманули
высшем уровне
"нерабочая, ужасная"
регулярно обманывают
отвратительный
"заблокировали, незаконно удерживая, затягивают"
несуществующую
непонятно
Обманули!
Навязывание услуг
Некомпетентность
Некомпетентный
Достали
"бардак, наглым образом, нагреться"
сожрал
Обманщики
Очень негативное впечатление
худших
Крутое пике
отвратительная
Некомпетентность
маразм
Абсолют непрофессионализма и наплевательства
Некачественное
неведомые
Нет помощи от банка никакой!
"абсолютно некомпетентный (или делающий вид) персонал, обман, липовые акции"
Полное бездействие
худший
Обман
Грабительская
Отвратительное
отвратительно
постоянно обманывает
Откровенное издевательство
Обманщики
Обман
Полное разочарование
"спамят, просит отключить много раз"
обманул
ужасный
необоснованную
Обманщики
гниет
Ужасный
обман
спам-обзвон
Если бы можно было поставить минус 100 баллов
Бесполезные
"Ужасное, сплошной, обман"
"без моего согласия, долгая"
Невозможно
вводит в заблуждение
Обман
Ужасное
Осторожно обманщики! Оградите себя и своих близких!
отвратительное
отвратительный
"отвратительный, некомпетентность, полная безответственность"
отвратительный
"Удивляет, откровенная ложь"
Ужасный
Необоснованно
хамское
некомпетентные
обманщики
блин
бесит
ужасно
лагает
крашится
кошмар
жесть
фигня
подвисает
